end_time,artist_name,track_name,ms_played
2021-04-09 05:25,Justin Timberlake,Cry Me a River,288333
2021-04-09 05:30,Justin Timberlake,Rock Your Body,267267
2021-04-09 05:32,Justin Timberlake,Nothin' Else,132773
2021-04-09 05:35,Pusha T,If You Know You Know,202120
2021-04-09 05:38,Pusha T,The Games We Play,166120
2021-04-09 05:41,Pusha T,Hard Piano,195733
2021-04-09 05:42,Pusha T,Come Back Baby,40650
2021-04-09 05:45,Pusha T,Santeria,176027
2021-04-09 05:47,Pusha T,What Would Meek Do?,114808
2021-04-09 06:23,BROCKHAMPTON,DON'T SHOOT UP THE PARTY,187266
2021-04-09 06:26,BROCKHAMPTON,DEAR LORD,122213
2021-04-09 06:30,BROCKHAMPTON,THE LIGHT PT. II,258203
2021-04-09 06:34,BROCKHAMPTON,SUGAR,10192
2021-04-09 06:34,BROCKHAMPTON,NO HALO,259746
2021-04-09 06:39,BROCKHAMPTON,BLEACH,273151
2021-04-09 06:39,BROCKHAMPTON,ALASKA,2902
2021-04-09 06:42,Kevin Devine,Sick of Words,12711
2021-04-09 06:42,Kevin Devine,Bubblegum,136547
2021-04-09 06:45,Kevin Devine,Private First Class,158204
2021-04-09 06:48,Kevin Devine,Fiscal Cliff,188940
2021-04-09 06:52,Kevin Devine,Redbird,54034
2021-04-09 06:52,Kevin Devine,I Can't Believe You,228910
2021-04-09 07:00,Michael Kiwanuka,One More Night,29013
2021-04-09 07:00,Michael Kiwanuka,Love & Hate,427093
2021-04-09 07:04,NF,CLOUDS,243760
2021-04-09 07:08,NF,THAT'S A JOKE,229656
2021-04-09 07:08,NF,JUST LIKE YOU,6476
2021-04-09 07:12,NF,The Search,248053
2021-04-09 07:13,NF,Leave Me Alone,71765
2021-04-09 07:17,Kendrick Lamar,A.D.H.D,215509
2021-04-09 07:18,Kendrick Lamar,No Make-Up (Her Vice) (feat. Colin Munroe),72714
2021-04-09 07:21,Kendrick Lamar,Tammy's Song (Her Evils),161670
2021-04-09 07:22,Kendrick Lamar,Chapter Six,76579
2021-04-09 07:27,Perfume Genius,Nothing at All,267146
2021-04-09 07:30,Perfume Genius,One More Try,181720
2021-04-09 07:30,Perfume Genius,Some Dream,28370
2021-04-09 07:33,Phoebe Bridgers,Kyoto,184524
2021-04-09 07:36,Phoebe Bridgers,Punisher,138281
2021-04-09 07:39,Phoebe Bridgers,Chinese Satellite,217070
2021-04-09 07:42,Phoebe Bridgers,Moon Song,182193
2021-04-09 07:42,Phoebe Bridgers,Savior Complex,3178
2021-04-09 07:45,Phoebe Bridgers,ICU,190093
2021-04-09 07:46,Phoebe Bridgers,Graceland Too,7112
2021-04-09 07:51,Phoebe Bridgers,I Know The End,344692
2021-04-09 07:55,Better Oblivion Community Center,Didn't Know What I Was in For,243226
2021-04-09 07:59,Better Oblivion Community Center,Sleepwalkin',192706
2021-04-09 08:00,Better Oblivion Community Center,Dylan Thomas,81295
2021-04-10 01:14,NF,CLOUDS,243760
